#,Name,Rating,Date,Age
8,"Ivanchuk, Vasyl",2714,1999 Jan,29
9,"Svidler, Peter",2713,1999 Jan,22
10,"Karpov, Anatoly",2710,1999 Jan,47
1,"Kasparov, Garry",2825,1998 Jan,34
2,"Kramnik, Vladimir",2790,1998 Jan,22
3,"Anand, Viswanathan",2770,1998 Jan,28
4,"Topalov, Veselin",2740,1998 Jan,22
5,"Ivanchuk, Vasyl",2740,1998 Jan,28
6,"Karpov, Anatoly",2735,1998 Jan,46
7,"Kamsky, Gata",2720,1998 Jan,23
8,"Shirov, Alexei",2710,1998 Jan,25
9,"Svidler, Peter",2690,1998 Jan,21
10,"Beliavsky, Alexander",2690,1998 Jan,44
1,"Kasparov, Garry",2795,1997 Jan,33
2,"Anand, Viswanathan",2765,1997 Jan,27
3,"Karpov, Anatoly",2760,1997 Jan,45
4,"Kramnik, Vladimir",2740,1997 Jan,21
5,"Ivanchuk, Vasyl",2740,1997 Jan,27
6,"Topalov, Veselin",2725,1997 Jan,21
7,"Kamsky, Gata",2720,1997 Jan,22
8,"Gelfand, Boris",2700,1997 Jan,28
9,"Shirov, Alexei",2690,1997 Jan,24
10,"Short, Nigel",2690,1997 Jan,31
1,"Kramnik, Vladimir",2775,1996 Jan,20
2,"Kasparov, Garry",2775,1996 Jan,32
3,"Karpov, Anatoly",2770,1996 Jan,44
4,"Ivanchuk, Vasyl",2735,1996 Jan,26
5,"Kamsky, Gata",2735,1996 Jan,21
6,"Anand, Viswanathan",2725,1996 Jan,26
7,"Topalov, Veselin",2700,1996 Jan,20
8,"Gelfand, Boris",2700,1996 Jan,27
9,"Shirov, Alexei",2690,1996 Jan,23
10,"Polgar, Judit",2675,1996 Jan,19
1,"Kasparov, Garry",2805,1995 Jan,31
2,"Karpov, Anatoly",2765,1995 Jan,43
3,"Salov, Valery",2715,1995 Jan,30
4,"Anand, Viswanathan",2715,1995 Jan,25
5,"Kramnik, Vladimir",2715,1995 Jan,19
6,"Shirov, Alexei",2710,1995 Jan,22
7,"Kamsky, Gata",2710,1995 Jan,20
8,"Gelfand, Boris",2700,1995 Jan,26
9,"Ivanchuk, Vasyl",2700,1995 Jan,25
10,"Bareev, Evgeny",2675,1995 Jan,28
1,"Karpov, Anatoly",2740,1994 Jan,42
2,"Shirov, Alexei",2715,1994 Jan,21
3,"Anand, Viswanathan",2715,1994 Jan,24
4,"Ivanchuk, Vasyl",2710,1994 Jan,24
5,"Kramnik, Vladimir",2710,1994 Jan,18
6,"Kamsky, Gata",2695,1994 Jan,19
7,"Salov, Valery",2685,1994 Jan,29
8,"Bareev, Evgeny",2685,1994 Jan,27
9,"Gelfand, Boris",2685,1994 Jan,25
10,"Epishin, Vladimir",2675,1994 Jan,28
1,"Kasparov, Garry",2805,1993 Jan,29
2,"Karpov, Anatoly",2725,1993 Jan,41
3,"Ivanchuk, Vasyl",2710,1993 Jan,23
4,"Anand, Viswanathan",2710,1993 Jan,23
5,"Gelfand, Boris",2690,1993 Jan,24
6,"Kramnik, Vladimir",2685,1993 Jan,17
7,"Shirov, Alexei",2670,1993 Jan,20
8,"Bareev, Evgeny",2670,1993 Jan,26
9,"Georgiev, Kiril",2660,1993 Jan,27
10,"Salov, Valery",2660,1993 Jan,28
1,"Kasparov, Garry",2780,1992 Jan,28
2,"Karpov, Anatoly",2725,1992 Jan,40
3,"Ivanchuk, Vasyl",2720,1992 Jan,22
4,"Short, Nigel",2685,1992 Jan,26
5,"Anand, Viswanathan",2670,1992 Jan,22
6,"Gelfand, Boris",2665,1992 Jan,23
7,"Shirov, Alexei",2655,1992 Jan,19
8,"Kamsky, Gata",2655,1992 Jan,17
9,"Yusupov, Artur",2655,1992 Jan,31
10,"Salov, Valery",2655,1992 Jan,27
1,"Kasparov, Garry",2800,1991 Jan,27
2,"Karpov, Anatoly",2725,1991 Jan,39
3,"Gelfand, Boris",2700,1991 Jan,22
4,"Ivanchuk, Vasyl",2695,1991 Jan,21
5,"Bareev, Evgeny",2650,1991 Jan,24
6,Gurevich Mikhail,2650,1991 Jan,31
7,"Ehlvest, Jaan",2650,1991 Jan,28
8,"Yudasin, Leonid",2645,1991 Jan,31
9,"Salov, Valery",2645,1991 Jan,26
10,"Beliavsky, Alexander",2640,1991 Jan,37
1,"Kasparov, Garry",2800,1990 Jan,26
2,"Karpov, Anatoly",2730,1990 Jan,38
3,"Timman, Jan",2680,1990 Jan,38
4,"Ivanchuk, Vasyl",2665,1990 Jan,20
5,Gurevich Mikhail,2645,1990 Jan,30
6,"Salov, Valery",2645,1990 Jan,25
7,"Beliavsky, Alexander",2640,1990 Jan,36
8,"Short, Nigel",2635,1990 Jan,24
9,"Andersson, Ulf",2630,1990 Jan,38
10,"Korchnoi, Viktor",2625,1990 Jan,58
1,"Kasparov, Garry",2775,1989 Jan,25
2,"Karpov, Anatoly",2750,1989 Jan,37
3,"Short, Nigel",2650,1989 Jan,23
4,"Beliavsky, Alexander",2640,1989 Jan,35
5,"Speelman, Jonathan",2640,1989 Jan,32
6,"Ivanchuk, Vasyl",2635,1989 Jan,19
7,"Salov, Valery",2630,1989 Jan,24
8,"Ribli, Zoltan",2625,1989 Jan,37
9,"Nunn, John",2620,1989 Jan,33
10,"Andersson, Ulf",2620,1989 Jan,37
1,"Kasparov, Garry",2750,1988 Jan,24
2,"Karpov, Anatoly",2715,1988 Jan,36
3,"Timman, Jan",2675,1988 Jan,36
4,"Beliavsky, Alexander",2645,1988 Jan,34
5,"Korchnoi, Viktor",2640,1988 Jan,56
6,"Nikolic, Predrag",2630,1988 Jan,27
7,"Short, Nigel",2630,1988 Jan,22
8,"Tal, Mikhail",2630,1988 Jan,51
9,Gurevich Mikhail,2625,1988 Jan,28
10,"Speelman, Jonathan",2625,1988 Jan,31
1,"Kasparov, Garry",2735,1987 Jan,23
2,"Karpov, Anatoly",2710,1987 Jan,35
3,"Yusupov, Artur",2645,1987 Jan,26
4,Sokolov Andrei,2645,1987 Jan,23
5,"Korchnoi, Viktor",2625,1987 Jan,55
6,"Ljubojevic, Ljubomir",2620,1987 Jan,36
7,"Huebner, Robert",2615,1987 Jan,38
8,"Short, Nigel",2615,1987 Jan,21
9,"Portisch, Lajos",2610,1987 Jan,49
10,"Spassky, Boris",2605,1987 Jan,49
1,"Kasparov, Garry",2720,1986 Jan,22
2,"Karpov, Anatoly",2700,1986 Jan,34
3,"Timman, Jan",2645,1986 Jan,34
4,"Vaganian, Rafael",2645,1986 Jan,34
5,"Yusupov, Artur",2645,1986 Jan,25
6,"Korchnoi, Viktor",2635,1986 Jan,54
7,"Beliavsky, Alexander",2625,1986 Jan,32
8,"Huebner, Robert",2625,1986 Jan,37
9,"Miles, Anthony J",2610,1986 Jan,30
10,"Portisch, Lajos",2610,1986 Jan,48
1,"Kasparov, Garry",2715,1985 Jan,21
2,"Karpov, Anatoly",2705,1985 Jan,33
3,"Timman, Jan",2650,1985 Jan,33
4,"Vaganian, Rafael",2640,1985 Jan,33
5,"Portisch, Lajos",2635,1985 Jan,47
6,"Beliavsky, Alexander",2635,1985 Jan,31
7,"Korchnoi, Viktor",2630,1985 Jan,53
8,"Polugaevsky, Lev",2625,1985 Jan,50
9,"Nunn, John",2615,1985 Jan,29
10,"Ribli, Zoltan",2615,1985 Jan,33
1,"Kasparov, Garry",2710,1984 Jan,20
2,"Karpov, Anatoly",2700,1984 Jan,32
3,"Korchnoi, Viktor",2635,1984 Jan,52
4,"Ljubojevic, Ljubomir",2635,1984 Jan,33
5,"Andersson, Ulf",2630,1984 Jan,32
6,"Vaganian, Rafael",2630,1984 Jan,32
7,"Portisch, Lajos",2625,1984 Jan,46
8,"Huebner, Robert",2620,1984 Jan,35
9,"Tal, Mikhail",2620,1984 Jan,47
10,"Hort, Vlastimil",2615,1984 Jan,39
1,"Karpov, Anatoly",2710,1983 Jan,31
2,"Kasparov, Garry",2690,1983 Jan,19
3,"Ljubojevic, Ljubomir",2645,1983 Jan,32
4,"Andersson, Ulf",2630,1983 Jan,31
5,"Huebner, Robert",2625,1983 Jan,34
6,"Polugaevsky, Lev",2625,1983 Jan,48
7,"Portisch, Lajos",2620,1983 Jan,45
8,"Tal, Mikhail",2620,1983 Jan,46
9,"Spassky, Boris",2605,1983 Jan,45
10,"Timman, Jan",2605,1983 Jan,31
1,"Karpov, Anatoly",2720,1982 Jan,30
2,"Timman, Jan",2655,1982 Jan,30
3,"Korchnoi, Viktor",2645,1982 Jan,50
4,"Kasparov, Garry",2640,1982 Jan,18
5,"Portisch, Lajos",2630,1982 Jan,44
6,"Spassky, Boris",2625,1982 Jan,44
7,"Huebner, Robert",2620,1982 Jan,33
8,"Mecking, Henrique",2615,1982 Jan,29
9,"Beliavsky, Alexander",2615,1982 Jan,28
10,"Larsen, Bent",2605,1982 Jan,46
1,"Karpov, Anatoly",2690,1981 Jan,29
2,"Portisch, Lajos",2650,1981 Jan,43
3,"Korchnoi, Viktor",2650,1981 Jan,49
4,"Huebner, Robert",2635,1981 Jan,32
5,"Spassky, Boris",2635,1981 Jan,43
6,"Kasparov, Garry",2625,1981 Jan,17
7,"Timman, Jan",2620,1981 Jan,29
8,"Beliavsky, Alexander",2620,1981 Jan,27
9,"Polugaevsky, Lev",2620,1981 Jan,46
10,"Mecking, Henrique",2615,1981 Jan,28
1,"Karpov, Anatoly",2725,1980 Jan,28
2,"Tal, Mikhail",2705,1980 Jan,43
3,"Korchnoi, Viktor",2695,1980 Jan,48
4,"Portisch, Lajos",2655,1980 Jan,42
5,"Polugaevsky, Lev",2635,1980 Jan,45
6,"Mecking, Henrique",2615,1980 Jan,27
7,"Petrosian, Tigran",2615,1980 Jan,50
8,"Spassky, Boris",2615,1980 Jan,42
9,"Ribli, Zoltan",2610,1980 Jan,28
10,"Gheorghiu, Florin",2605,1980 Jan,35
1,"Karpov, Anatoly",2705,1979 Jan,27
2,"Korchnoi, Viktor",2695,1979 Jan,47
3,"Portisch, Lajos",2640,1979 Jan,41
4,"Spassky, Boris",2640,1979 Jan,41
5,"Timman, Jan",2625,1979 Jan,27
6,"Polugaevsky, Lev",2625,1979 Jan,44
7,"Larsen, Bent",2620,1979 Jan,43
8,"Mecking, Henrique",2615,1979 Jan,26
9,"Tal, Mikhail",2615,1979 Jan,42
10,"Petrosian, Tigran",2610,1979 Jan,49
1,"Karpov, Anatoly",2725,1978 Jan,26
2,"Korchnoi, Viktor",2665,1978 Jan,46
3,"Mecking, Henrique",2630,1978 Jan,25
4,"Portisch, Lajos",2630,1978 Jan,40
5,"Spassky, Boris",2630,1978 Jan,40
6,"Tal, Mikhail",2625,1978 Jan,41
7,"Hort, Vlastimil",2620,1978 Jan,33
8,"Larsen, Bent",2620,1978 Jan,42
9,"Petrosian, Tigran",2620,1978 Jan,48
10,"Polugaevsky, Lev",2620,1978 Jan,43
1,"Karpov, Anatoly",2690,1977 Jan,25
2,"Korchnoi, Viktor",2645,1977 Jan,45
3,"Petrosian, Tigran",2645,1977 Jan,47
4,"Mecking, Henrique",2635,1977 Jan,24
5,"Portisch, Lajos",2625,1977 Jan,39
6,"Hort, Vlastimil",2620,1977 Jan,32
7,"Polugaevsky, Lev",2620,1977 Jan,42
8,"Tal, Mikhail",2620,1977 Jan,40
9,"Larsen, Bent",2615,1977 Jan,41
10,"Ljubojevic, Ljubomir",2615,1977 Jan,26
1,"Karpov, Anatoly",2695,1976 Jan,24
2,"Korchnoi, Viktor",2670,1976 Jan,44
3,"Petrosian, Tigran",2635,1976 Jan,46
4,"Polugaevsky, Lev",2635,1976 Jan,41
5,"Spassky, Boris",2630,1976 Jan,38
6,"Larsen, Bent",2625,1976 Jan,40
7,"Portisch, Lajos",2625,1976 Jan,38
8,"Mecking, Henrique",2620,1976 Jan,23
9,"Geller, Efim P",2620,1976 Jan,50
10,"Ljubojevic, Ljubomir",2620,1976 Jan,25
1,"Fischer, Robert James",2780,1975 Jan,31
2,"Karpov, Anatoly",2705,1975 Jan,23
3,"Korchnoi, Viktor",2665,1975 Jan,43
4,"Petrosian, Tigran",2645,1975 Jan,45
5,"Polugaevsky, Lev",2645,1975 Jan,40
6,"Tal, Mikhail",2645,1975 Jan,38
7,"Portisch, Lajos",2635,1975 Jan,37
8,"Larsen, Bent",2625,1975 Jan,39
9,"Spassky, Boris",2625,1975 Jan,37
10,"Huebner, Robert",2615,1975 Jan,26
1,"Fischer, Robert James",2780,1974 May,31
2,"Karpov, Anatoly",2700,1974 May,22
3,"Korchnoi, Viktor",2670,1974 May,43
4,"Spassky, Boris",2650,1974 May,37
5,"Portisch, Lajos",2645,1974 May,37
6,"Petrosian, Tigran",2640,1974 May,44
7,"Tal, Mikhail",2635,1974 May,37
8,"Larsen, Bent",2630,1974 May,39
9,"Polugaevsky, Lev",2630,1974 May,39
10,"Kavalek, Lubomir",2625,1974 May,30
1,"Fischer, Robert James",2780,1973 Jul,30
2,"Karpov, Anatoly",2660,1973 Jul,22
3,"Tal, Mikhail",2660,1973 Jul,36
4,"Spassky, Boris",2655,1973 Jul,36
5,"Portisch, Lajos",2650,1973 Jul,36
6,"Korchnoi, Viktor",2650,1973 Jul,42
7,"Petrosian, Tigran",2640,1973 Jul,44
8,"Botvinnik, Mikhail",2630,1973 Jul,61
9,"Polugaevsky, Lev",2625,1973 Jul,38
10,"Larsen, Bent",2620,1973 Jul,38
1,"Fischer, Robert James",2785,1972 Jul,29
2,"Spassky, Boris",2660,1972 Jul,35
3,"Petrosian, Tigran",2645,1972 Jul,43
4,"Polugaevsky, Lev",2645,1972 Jul,37
5,"Portisch, Lajos",2640,1972 Jul,35
6,"Korchnoi, Viktor",2640,1972 Jul,41
7,"Botvinnik, Mikhail",2630,1972 Jul,60
8,"Karpov, Anatoly",2630,1972 Jul,21
9,"Larsen, Bent",2625,1972 Jul,37
10,"Tal, Mikhail",2625,1972 Jul,35
1,"Fischer, Robert James",2760,1971 Jul,28
2,"Spassky, Boris",2690,1971 Jul,34
3,"Korchnoi, Viktor",2670,1971 Jul,40
4,"Larsen, Bent",2660,1971 Jul,36
5,"Petrosian, Tigran",2640,1971 Jul,42
6,"Polugaevsky, Lev",2640,1971 Jul,36
7,"Portisch, Lajos",2630,1971 Jul,34
8,"Botvinnik, Mikhail",2630,1971 Jul,59
9,"Smyslov, Vassily",2620,1971 Jul,50
10,"Tal, Mikhail",2620,1971 Jul,34
